Date,Open,High,Low,Close,Adj Close,Volume
1993-01-29,43.968750,43.968750,43.750000,43.937500,25.334028,1003200
1993-02-01,43.968750,44.250000,43.968750,44.250000,25.514223,480500
1993-02-02,44.218750,44.375000,44.125000,44.343750,25.568256,201300
1993-02-03,44.406250,44.843750,44.375000,44.812500,25.838554,529400
1993-02-04,44.968750,45.093750,44.468750,45.000000,25.946663,531500
1993-02-05,44.968750,45.062500,44.718750,44.968750,25.928648,492100
1993-02-08,44.968750,45.125000,44.906250,44.968750,25.928648,596100
1993-02-09,44.812500,44.812500,44.562500,44.656250,25.748455,122100
1993-02-10,44.656250,44.750000,44.531250,44.718750,25.784487,379600
1993-02-11,44.781250,45.125000,44.781250,44.937500,25.910612,19500
1993-02-12,44.875000,44.875000,44.593750,44.593750,25.712414,42500
1993-02-16,44.468750,44.468750,43.406250,43.468750,25.063757,374800
1993-02-17,43.468750,43.531250,43.281250,43.437500,25.045734,210900
1993-02-18,43.937500,43.937500,42.812500,43.406250,25.027716,378100
1993-02-19,43.406250,43.562500,43.343750,43.562500,25.117798,34900
1993-02-22,43.687500,43.781250,43.562500,43.718750,25.207895,513600
1993-02-23,43.843750,43.875000,43.468750,43.687500,25.189886,373700
1993-02-24,43.718750,44.250000,43.718750,44.250000,25.514223,26300
1993-02-25,44.218750,44.375000,44.125000,44.343750,25.568256,44500
1993-02-26,44.437500,44.437500,44.187500,44.406250,25.604300,66200
1993-03-01,44.562500,44.562500,44.218750,44.281250,25.532234,66500
1993-03-02,44.312500,44.937500,44.250000,44.937500,25.910612,182400
1993-03-03,45.000000,45.156250,44.937500,45.125000,26.018730,280100
1993-03-04,45.187500,45.187500,44.875000,44.875000,25.874584,89500
1993-03-05,44.937500,45.125000,44.718750,44.750000,25.802505,40000
1993-03-08,44.843750,45.750000,44.843750,45.750000,26.379099,50800
1993-03-09,45.656250,45.687500,45.500000,45.593750,26.289007,169300
1993-03-10,45.593750,45.687500,45.406250,45.687500,26.343050,194400
1993-03-11,45.718750,45.843750,45.500000,45.562500,26.270987,70900
1993-03-12,45.187500,45.218750,44.812500,45.093750,26.000704,643600
1993-03-15,45.062500,45.312500,45.062500,45.312500,26.126858,310800
1993-03-16,45.312500,45.437500,45.312500,45.312500,26.126858,30800
1993-03-17,45.250000,45.250000,44.968750,45.031250,25.964670,21800
1993-03-18,45.218750,45.500000,45.218750,45.312500,26.126858,59300
1993-03-19,45.281250,45.281250,45.031250,45.031250,26.087297,66900
1993-03-22,44.593750,44.875000,44.562500,44.781250,25.942463,183400
1993-03-23,44.906250,44.937500,44.812500,44.875000,25.996788,55200
1993-03-24,44.812500,45.062500,44.593750,44.875000,25.996788,37200
